Time (s), Voltage (V)
8.362149,-0.007331
8.372148,-0.305474
8.382148,-0.349462
8.392148,-0.124633
8.402153,-0.383676
8.412157,-0.031769
8.422161,-0.217498
8.432165,-0.3348
8.442169,-0.153959
8.452169,-0.364125
8.462168,-0.046432
8.472172,-0.251711
8.482176,-0.339687
8.492177,-0.075758
8.502177,-0.417889
8.512181,-0.007331
8.522185,-0.168622
8.532184,-0.344575
8.542184,-0.021994
8.552188,-0.369013
8.562192,-0.012219
8.572193,-0.168622
8.582197,-0.290811
8.592197,-0.046432
8.602196,-0.344575
8.6122,0.017107
8.622204,-0.188172
8.632205,-0.290811
8.642205,-0.07087
8.652204,-0.271261
8.662208,0.105083
8.672212,-0.095308
8.682216,-0.266373
8.69222,0.075758
8.702224,-0.281036
8.712224,0.129521
8.722225,-0.144184
8.732233,-0.197947
8.74224,-0.041544
8.752241,-0.217498
8.762241,-0.012219
8.77224,-0.021994
8.782244,-0.227273
8.792252,0.061095
8.802252,-0.217498
8.812252,0.124633
8.822257,-0.085533
8.832257,-0.217498
